Zeit,Teilnehmer,What is your experience?,What is your gender?,Do you feel represented in the community?,"How do you feel, how could the community improve?",Where are you from?,How old are you?,What is your / your families income?,Do you have a special brain?,Why did you start using Linux?,What do you use your PC for?,Do you contribute to the linux ecosystem?,Do you use multiple Linux systems?,Do you use other Operating Systems?,Why do you use other Operating Systems?,Multiple Linux Systems just for testing or daily driving?,What are the most important benefits of Linux Distributions?,Does your hardware meet Windows 11 requirements?,Do you use disk encryption?,Why do you use disk encryption?,Where does the distro you use originate from?,What origin was your FIRST distro from?,Why did you switch from NixOS?,Why did you switch from OpenSUSE?,Why did you switch from Arch?,Why did you switch from Fedora?,Why did you switch from Debian?,Why did you switch from Ubuntu?,Do you use a smaller Distribution?,Why do you use that distribution?,Do you modify your install in these areas?,What kind of device do you use?,"Does your device have official Linux support / come from a ""Linux hardware company""?",Does your device support Linux without issues anyways?,Is the Firmware / BIOS / UEFI on your PC open source?,Did you buy your device with opensource Firmware?,What Firmware do you use?,What release model?,Are you having problems with that?,Do you plan to switch to a different release type?,"Desktop, Window manager, Terminal?",Why do you use a Window Manager?,Why do you use a smaller Desktop?,Why do you use GNOME?,Did you switch from KDE?,Why do you use KDE?,Did you switch from GNOME?,Why did you switch from KDE?,Why did you switch from GNOME?,Tiling or Floating?,Do you use virtual Desktops?,Do you use Wayland or X11,Can you switch to Wayland?,Have you considered switching to a Wayland alternative?,Will you switch to Wayland in the next year?,How do you get your apps?,"Do you use an ""immutable"" Distribution?","Why don't you use an ""immutable"" distribution?",Do you use proprietary software?,Why do you use Flatpaks?,What problems with Flatpaks do you face?,Why dont you use Flatpak?,Do you use non-Flatpak proprietary Software?,Do you want more proprietary software as Flatpaks?,How did you like this survey?,Anything to add?
2024-06-13T23:40:39.523Z,Gast,"programmer (not systems related, like Web or Apps),used many different distros,distrohopped a lot (over 5 times),giving tech support to people",male,,,Australia,31-40,average,"yes, Autism",because it is free (as in money),"web browsing,online media comsumption,offline media consumption,gaming: windows games (Steam, WINE, Proton),software development,storing videos, pictures, ...,playing around with the OS",no time,"yes, also Windows,yes, also macOS",,,,"customizability, fun,efficient workflows",yes,no,"needed for work,needed for a hobby,works better for some tasks","Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)",Slackware,,,,,,,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),adding additional repositories,theming",Laptop,no,only minor issues,no idea,,,"Semi rolling: versions, updates in between (Fedora)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,needed features (like gaming),poweruser features",yes,,"didnt like the interface trends,they removed features I needed,prefer the UI","Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),native packages without a repo (manually downloaded .deb files etc),Flatpak,Snap,.tar archives, .run commands, binaries from the internet,Homebrew",no,,"yes, I need it","nice store, easy to find,more stable system,they work well","missing software,issues with desktop integration,theming",,yes,yes,too short,"Some of the questions don't make sense, and some questions don't have an option for my answers. If you want to do there servey's seriously then you'll want to put the questions and answers online and get feedback on them before putting them into the servey."
2024-06-13T23:41:02.792Z,Gast,"3+ years Linux user,used many different distros,giving tech support to people,admin: unpaid (local group, school, ...)",male,,,USA+Canada,41-50,average,"yes, other","because it is free (as in money),because of privacy reasons,I like to tweak my system","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,audio production,learning,storing videos, pictures, ...,playing around with the OS,being anonymous online",help people I know,"yes, multiple Linux Desktops,yes, Linux Servers too,yes, also Windows",,,,"Free: no money costs,Free as in freedom (no restriction of use),customizability, fun,efficient workflows",yes,no,"works better for some tasks,like to play around","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, Tails, EndlessOS, ElementaryOS, ...)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,packages were too old,,yes,Ease of use / better presets,,Desktop PC,no,yes,no,,,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,no,"Smaller Desktop (Cinnamon (Linux Mint), XFCE, LXQt/LXDE, Mate, COSMIC, ...)",,"I didnt like the direction of GNOME or KDE,I find it easy to use,it is lightweight",,,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),native packages without a repo (manually downloaded .deb files etc),Flatpak",no,,"yes, I dont care",preinstalled on my Distro,"sandboxing breaks some apps,issues with desktop integration",,yes,no,cool!,
2024-06-13T23:41:36.310Z,Gast,"3+ years Linux user,programmer (not systems related, like Web or Apps),used a few different distros",male,,,USA+Canada,21-26,slightly above average,"yes, Autism","Friends or Family showed me,Found it online,Windows annoyed me,because of privacy reasons,I like to tweak my system,it is better for my tasks,it has better software","web browsing,online media comsumption,offline media consumption,mail, messaging,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,software development,storing videos, pictures, ...,playing around with the OS",contributing code,"yes, multiple Linux Desktops",,,,"Free as in freedom (no restriction of use),Privacy,customizability, fun,efficient workflows",yes,no,,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,,no,,"media support (codecs),theming",Desktop PC,no,yes,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,Window manager / Compositor,"I like to tweak my desktop,lightweight,functionality",,,,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,X11,,yes,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Appimage,.tar archives, .run commands, binaries from the internet",no,,"yes, I need it",,,I prefer distro packages,,,cool!,
2024-06-13T23:45:36.493Z,Gast,"know the major terminal tools,3+ years Linux user,used many different distros,distrohopped a lot (over 5 times),giving tech support to people",male,,,USA+Canada,41-50,below average,"yes, ADHD,undiagnosed","Found it online,Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,I was bored (with the other OS),it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),audio production,learning,storing videos, pictures, ...,playing around with the OS","not yet,help make it more popular","yes, multiple Linux Desktops",,,,"Free: no money costs,Free as in freedom (no restriction of use),Privacy,customizability, fun",no,"yes, with a password",like to play around,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,something else,,yes,Ease of use / better presets,,Desktop PC,no,yes,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"traditional UI,beginner friendly",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,X11,yes,,,"native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Appimage","yes, Fedora Atomic / uBlue, coreOS, IOT, ...,yes, SteamOS,yes, Android",,"yes, I need it","preinstalled on my Distro,nice store, easy to find,security through sandboxing","missing software,theming",,no,yes,cool!,:)
2024-06-13T23:52:37.625Z,Gast,"know the major terminal tools,used a few different distros,used many different distros,giving tech support to people,some other job with Linux",male,,,Europe,51-60,above average,"yes, Autism,yes, ADHD","Windows annoyed me,because it is free (as in money),I like to tweak my system,I was bored (with the other OS)","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,audio production,video production,software development,learning,storing videos, pictures, ...,playing around with the OS,storing important information","I donate to projects,help with translations,forum support,doing packaging,help make it more popular","yes, multiple Linux Desktops,yes, Linux Servers too,yes, also Windows,yes, also macOS",,,,efficient workflows,dont know,no,other,"Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, Tails, EndlessOS, ElementaryOS, ...)",other,,,,,,,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),adding additional repositories",Laptop,yes,,no,,,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,no,"GNOME (default on Ubuntu, Fedora, ...)",,,It has needed functionality,yes,,,too unstable,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),native packages without a repo (manually downloaded .deb files etc),Flatpak,Snap,Appimage,.tar archives, .run commands, binaries from the internet",no,,"yes, I need it",officially maintained (verified),issues with desktop integration,,yes,no,cool!,Hope it's useful. 
2024-06-13T23:54:26.543Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),used many different distros,distrohopped a lot (over 5 times),giving tech support to people,admin: paid,some other job with Linux",male,,,Europe,41-50,average,probably no,"Friends or Family showed me,Windows annoyed me,I like to tweak my system","web browsing,online media comsumption,offline media consumption,mail, messaging,storing important information","I donate to projects,help with translations,forum support,help people I know","yes, both",,,,"Security against physical attackers,Security against bad software / viruses,efficient workflows",yes,"yes, both","needed for work,works better for some tasks,administration for other people",OpenSUSE,"Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,something else,,yes,"Ease of use / better presets,security hardened,privacy hardened",,Laptop,yes,,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,Window manager / Compositor,"efficient workflow,lightweight,no bloat",,,,,,,,Autotiling,Yes,Wayland,,,,"native packages (deb, rpm) (main repo),Flatpak,Distrobox / Toolbox","yes, Android,yes, OpenSUSE microOS, Aeon, Kalpa",,"yes, I need it","security through sandboxing,officially maintained (verified)","sandboxing breaks some apps,missing modularity in hardening,issues with desktop integration",,no,yes,cool!,
2024-06-13T23:55:00.228Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),used many different distros,distrohopped a lot (over 5 times),giving tech support to people,admin: unpaid (local group, school, ...),some other job with Linux",rather not say,its okay,"people need to get better at responding to newbies asking for help. don't gatekeep, don't give unsolicited distro recommendations, don't tell them to google it or rtfm, and don't suggest anything that is likely to destroy data. if someone asks for app or distro recommendations, take into account their experience level.",USA+Canada,16-20,above average,"yes, Autism","Found it online,Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,I was bored (with the other OS),it has better hardware support,it has better software,it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),audio production,video production,software development,learning,storing videos, pictures, ...,playing around with the OS,being anonymous online,storing important information","forum support,contributing code,help make it more popular","yes, both",,,,"Free as in freedom (no restriction of use),Security against bad software / viruses,customizability, fun,modularity of software components",yes,no,"works better for some tasks,other","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,,no,,"additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),uninstalling preinstalled native packages,adding additional repositories,theming",Laptop,yes,,no,,,"Slow rolling: no versions, more testing (OpenSUSE Slowroll)",yes,"yes,not sure if something else is better","KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,needed features (like gaming),better legacy app support (tray icons, X11 keystrokes, XWayland, ...)",yes,,"didnt like the interface trends,KDE got more stable (less bugs),better legacy app support","Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages (deb, rpm) (main repo),Flatpak,.tar archives, .run commands, binaries from the internet",no,,"yes, I need it","nice store, easy to find","sandboxing breaks some apps,issues with desktop integration,theming",,yes,yes,cool!,Nope!
2024-06-13T23:58:43.829Z,Gast,"3+ years Linux user,used a few different distros,giving tech support to people",male,,,USA+Canada,31-40,slightly above average,"yes, ADHD,yes, other","Windows annoyed me,because of privacy reasons,I like to tweak my system,it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,science, research, writing papers,audio production,video production,learning,storing videos, pictures, ...,playing around with the OS,being anonymous online,storing important information","I donate to projects,help make it more popular,help people I know","yes, multiple Linux Desktops",,,,"Free as in freedom (no restriction of use),Privacy,customizability, fun,modularity of software components",yes,"yes, with a password",other,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,"packages were too old,something else",,no,,"additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),uninstalling preinstalled native packages,adding additional repositories,theming,security optimization",Desktop PC,no,only minor issues,no,,,"Semi rolling: versions, updates in between (Fedora)",no,no,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,performance,app integration",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Snap,Appimage",no,,"yes, I need it","security through sandboxing,they work well,officially maintained (verified)","issues with desktop integration,other",,yes,no,cool!,
2024-06-14T00:01:46.966Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),programmer (systems related, Linux utilities, libraries),used many different distros,distrohopped a lot (over 5 times),giving tech support to people",male,,,USA+Canada,51-60,above average,probably no,"Windows annoyed me,macOS annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,it is better for my tasks,it has better software,it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,science, research, writing papers,software development,learning,storing videos, pictures, ...,playing around with the OS,storing important information","contributing code,doing packaging,help people I know","yes, multiple Linux Desktops,yes, Linux Servers too",,,,"Free: no money costs,Free as in freedom (no restriction of use),Privacy,efficient workflows",yes,"yes, with a password",works better for some tasks,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)",,,,"Broke on an upgrade,I dont like RedHat,other",,,yes,Ease of use / better presets,,Desktop PC,no,yes,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,Window manager / Compositor,"efficient workflow,functionality,no bloat",,,,,,,,"Tiling, manual",Yes,X11,,yes,,"native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),.tar archives, .run commands, binaries from the internet",no,,no,,,"they bloat the system,they are like Snaps",,,cool!,"Q13 you forgot laptops and other mobile devices (tablets, phones). I have a desktop, two laptops, and a tablet; all Linux. No phone yet, except insofar as Android still has a Linux kernel. Q17: ""why"" what?"
2024-06-14T00:04:00.769Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),programmer (systems related, Linux utilities, libraries),used many different distros,distrohopped a lot (over 5 times),giving tech support to people,admin: paid",male,,,Australia,51-60,far below average,"yes, Autism,yes, ADHD,undiagnosed","job requirement,it has better hardware support,it is better for my tasks,it is more secure,I need disk encryption","web browsing,online media comsumption,mail, messaging,standard office tasks,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,software development,learning,storing videos, pictures, ...,playing around with the OS,being anonymous online,storing important information","I donate to projects,I pay for support,forum support,contributing code,doing packaging","yes, multiple Linux Desktops,yes, Linux Servers too,yes, also macOS",,,,"Free as in freedom (no restriction of use),Privacy,Security against physical attackers,Security against bad software / viruses",dont know,"yes, using the TPM,yes, with a password,yes, both","school/uni/work requirement,needed for work,administration for other people",OpenSUSE,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)",,,,"I dont like RedHat,other",,,yes,"security hardened,privacy hardened",,Laptop,dont know,,no,,,"Stable: versioned, backported security patches, no feature upgrades in between (Debian, RHEL, OpenSUSE Leap)",no,no,Window manager / Compositor,"efficient workflow,lightweight,functionality",,,,,,,,Autotiling,Yes,X11,,yes,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Snap,Appimage,.tar archives, .run commands, binaries from the internet",no,,"yes, I need it","more stable system,they work well,officially maintained (verified)","missing software,missing modularity in hardening",,yes,no,too long,
